path_id,context,step_index,state,state_label,node_id,final_energy_eV,relative_to_start_eV,delta_from_previous_step_eV,max_force_eVA
path_8,direct_co_o_bridge,2,H2O2,H2O2*,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,-548.659058,-9.437561,-4.354126,0.009591
path_8,direct_co_o_bridge,3,H2O,H2O*,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,-544.847534,-5.626038,3.811523,0.008765
path_8,direct_co_o_bridge,4,OH,OH*,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-539.280762,-0.059265,5.566772,0.005222
path_8,direct_co_o_bridge,5,O,O*,direct_co_o_bridge__O__O_atom_tilt0_az0,-535.068542,4.152954,4.212219,0.009665
path_9,direct_co_o_bridge,0,O2,OO*,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-539.221497,0.000000,0.000000,0.009823
path_9,direct_co_o_bridge,1,OOH,OOH*,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-544.304932,-5.083435,-5.083435,0.009520
path_9,direct_co_o_bridge,2,H2O2,H2O2*,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,-548.659058,-9.437561,-4.354126,0.009591
path_9,direct_co_o_bridge,3,H2O,H2O*,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330,-544.847473,-5.625977,3.811584,0.008781
path_9,direct_co_o_bridge,4,OH,OH*,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-539.280762,-0.059265,5.566711,0.005222
path_9,direct_co_o_bridge,5,O,O*,direct_co_o_bridge__O__O_atom_tilt0_az0,-535.068542,4.152954,4.212219,0.009665
path_10,direct_co_top,0,O2,OO*,direct_co_top__O2__O2_end_on_tilt30_az0,-539.208862,0.000000,0.000000,0.008955
path_10,direct_co_top,1,O,O*,direct_co_top__O__O_atom_tilt0_az0,-534.030701,5.178162,5.178162,0.009786
path_10,direct_co_top,2,OH,OH*,direct_co_top__OH__OH_co_bound_tilt30_az0,-539.273682,-0.064819,-5.242981,0.007941
path_10,direct_co_top,3,OOH,OOH*,direct_co_top__OOH__OOH_default_tilt30_az30,-544.421326,-5.212463,-5.147644,0.009943
path_10,direct_co_top,4,H2O2,H2O2*,direct_co_top__H2O2__H2O2_default_tilt0_az0,-548.620911,-9.412048,-4.199585,0.009562
path_10,direct_co_top,5,H2O,H2O*,direct_co_top__H2O__H2O_co_bound_tilt0_az0,-544.680481,-5.471619,3.940430,0.006539
path_11,direct_co_top,0,O2,OO*,direct_co_top__O2__O2_end_on_tilt30_az0,-539.208862,0.000000,0.000000,0.008955
path_11,direct_co_top,1,OOH,OOH*,direct_co_top__OOH__OOH_default_tilt30_az30,-544.421326,-5.212463,-5.212463,0.009943
path_11,direct_co_top,2,OH,OH*,direct_co_top__OH__OH_co_bound_tilt30_az0,-539.273682,-0.064819,5.147644,0.007941
path_11,direct_co_top,3,O,O*,direct_co_top__O__O_atom_tilt0_az0,-534.030701,5.178162,5.242981,0.009786
path_12,direct_co_top,0,O2,OO*,direct_co_top__O2__O2_end_on_tilt30_az0,-539.208862,0.000000,0.000000,0.008955
path_12,direct_co_top,1,OOH,OOH*,direct_co_top__OOH__OOH_default_tilt30_az30,-544.421326,-5.212463,-5.212463,0.009943
path_12,direct_co_top,2,OH,OH*,direct_co_top__OH__OH_co_bound_tilt30_az0,-539.273682,-0.064819,5.147644,0.007941
path_12,direct_co_top,3,H2O,H2O*,direct_co_top__H2O__H2O_co_bound_tilt0_az0,-544.680481,-5.471619,-5.406799,0.006539
path_12,direct_co_top,4,H2O2,H2O2*,direct_co_top__H2O2__H2O2_default_tilt0_az0,-548.620911,-9.412048,-3.940430,0.009562
path_13,direct_co_top,0,O2,OO*,direct_co_top__O2__O2_end_on_tilt30_az0,-539.208862,0.000000,0.000000,0.008955
path_13,direct_co_top,1,O,O*,direct_co_top__O__O_atom_tilt0_az0,-534.030701,5.178162,5.178162,0.009786
path_13,direct_co_top,2,OH,OH*,direct_co_top__OH__OH_co_bound_tilt30_az0,-539.273682,-0.064819,-5.242981,0.007941
path_13,direct_co_top,3,H2O,H2O*,direct_co_top__H2O__H2O_co_bound_tilt0_az0,-544.680481,-5.471619,-5.406799,0.006539
path_13,direct_co_top,4,H2O2,H2O2*,direct_co_top__H2O2__H2O2_default_tilt0_az0,-548.620911,-9.412048,-3.940430,0.009562
path_13,direct_co_top,5,OOH,OOH*,direct_co_top__OOH__OOH_default_tilt30_az30,-544.421326,-5.212463,4.199585,0.009943
path_14,direct_co_top,0,O2,OO*,direct_co_top__O2__O2_end_on_tilt30_az0,-539.208862,0.000000,0.000000,0.008955
path_14,direct_co_top,1,OOH,OOH*,direct_co_top__OOH__OOH_default_tilt30_az30,-544.421326,-5.212463,-5.212463,0.009943
path_14,direct_co_top,2,H2O2,H2O2*,direct_co_top__H2O2__H2O2_default_tilt0_az0,-548.620911,-9.412048,-4.199585,0.009562
path_14,direct_co_top,3,H2O,H2O*,direct_co_top__H2O__H2O_co_bound_tilt0_az0,-544.680481,-5.471619,3.940430,0.006539
path_14,direct_co_top,4,OH,OH*,direct_co_top__OH__OH_co_bound_tilt30_az0,-539.273682,-0.064819,5.406799,0.007941
path_14,direct_co_top,5,O,O*,direct_co_top__O__O_atom_tilt0_az0,-534.030701,5.178162,5.242981,0.009786
path_15,direct_hollow,0,O2,OO*,direct_hollow__O2__O2_side_on_tilt30_az30,-539.864075,0.000000,0.000000,0.009936
path_15,direct_hollow,1,O,O*,direct_hollow__O__O_atom_tilt0_az0,-534.288818,5.575256,5.575256,0.009368
path_15,direct_hollow,2,OH,OH*,direct_hollow__OH__OH_co_bound_tilt30_az30,-538.132629,1.731445,-3.843811,0.009497
path_15,direct_hollow,3,H2O,H2O*,direct_hollow__H2O__H2O_co_bound_tilt30_az0,-544.736694,-4.872620,-6.604065,0.009220
path_16,direct_hollow,0,O2,OO*,direct_hollow__O2__O2_side_on_tilt30_az30,-539.864075,0.000000,0.000000,0.009936
path_16,direct_hollow,1,OOH,OOH*,direct_hollow__OOH__OOH_default_tilt30_az0,-544.944580,-5.080505,-5.080505,0.009754
path_16,direct_hollow,2,OH,OH*,direct_hollow__OH__OH_co_bound_tilt30_az30,-538.132629,1.731445,6.811951,0.009497
path_16,direct_hollow,3,H2O,H2O*,direct_hollow__H2O__H2O_co_bound_tilt30_az0,-544.736694,-4.872620,-6.604065,0.009220
path_17,direct_hollow,0,O2,OO*,direct_hollow__O2__O2_side_on_tilt30_az30,-539.864075,0.000000,0.000000,0.009936
path_17,direct_hollow,1,O,O*,direct_hollow__O__O_atom_tilt0_az0,-534.288818,5.575256,5.575256,0.009368
path_17,direct_hollow,2,OH,OH*,direct_hollow__OH__OH_co_bound_tilt30_az30,-538.132629,1.731445,-3.843811,0.009497
path_17,direct_hollow,3,OOH,OOH*,direct_hollow__OOH__OOH_default_tilt30_az0,-544.944580,-5.080505,-6.811951,0.009754
path_18,direct_hollow,0,O2,OO*,direct_hollow__O2__O2_side_on_tilt30_az30,-539.864075,0.000000,0.000000,0.009936
path_18,direct_hollow,1,OOH,OOH*,direct_hollow__OOH__OOH_default_tilt30_az0,-544.944580,-5.080505,-5.080505,0.009754
path_18,direct_hollow,2,OH,OH*,direct_hollow__OH__OH_co_bound_tilt30_az30,-538.132629,1.731445,6.811951,0.009497
path_18,direct_hollow,3,O,O*,direct_hollow__O__O_atom_tilt0_az0,-534.288818,5.575256,3.843811,0.009368
path_19,vacancy_center,0,O2,OO*,vacancy_center__O2__O2_end_on_tilt30_az0,-534.676270,0.000000,0.000000,0.024393
path_19,vacancy_center,1,O,O*,vacancy_center__O__O_atom_tilt30_az30,-530.141418,4.534851,4.534851,0.004020
path_19,vacancy_center,2,OH,OH*,vacancy_center__OH__OH_center_h1p40_co_bound_tilt30_az0,-535.135986,-0.459717,-4.994568,0.007222
path_19,vacancy_center,3,OOH,OOH*,vacancy_center__OOH__OOH_default_tilt30_az150,-539.990723,-5.314453,-4.854736,0.009753
path_19,vacancy_center,4,H2O2,H2O2*,vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150,-544.707703,-10.031433,-4.716980,0.009864
path_19,vacancy_center,5,H2O,H2O*,vacancy_center__H2O__H2O_center_h2p00_co_bound_tilt30_az0,-539.627747,-4.951477,5.079956,0.009102
path_20,vacancy_center,0,O2,OO*,vacancy_center__O2__O2_end_on_tilt30_az0,-534.676270,0.000000,0.000000,0.024393
