path_id,context,step_index,state,state_label,node_id,final_energy_eV,relative_to_start_eV,delta_from_previous_step_eV,max_force_eVA
path_41,vacancy_co_top_13,0,O2,OO*,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,-535.101135,0.000000,0.000000,0.009907
path_41,vacancy_co_top_13,1,OOH,OOH*,vacancy_co_top_13__OOH__OOH_default_tilt30_az90,-539.573242,-4.472107,-4.472107,0.020305
path_41,vacancy_co_top_13,2,OH,OH*,vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az30,-535.219543,-0.118408,4.353699,0.009856
path_41,vacancy_co_top_13,3,O,O*,vacancy_co_top_13__O__O_atom_tilt0_az0,-530.205688,4.895447,5.013855,0.008320
