case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
37,direct_co_o_bridge__O,O_atom_tilt30_az270,Ba16Co16O49,81,-530.436767578125,-532.4068603515625,0.0,-6.572924201871142,1.623868703842163,8,False,stage1,co_o_bridge,3,atom_tilt30_az270,
38,direct_co_o_bridge__O,O_atom_tilt30_az300,Ba16Co16O49,81,-530.436767578125,-532.4068603515625,0.0,-6.572924201871142,1.6238669157028198,8,False,stage1,co_o_bridge,3,atom_tilt30_az300,
39,direct_co_o_bridge__O,O_atom_tilt30_az330,Ba16Co16O49,81,-530.436767578125,-532.4068603515625,0.0,-6.572924201871142,1.6238679885864258,8,False,stage1,co_o_bridge,3,atom_tilt30_az330,
304,direct_co_o_bridge__O2,O2_side_on_tilt30_az90,Ba16Co16O50,82,-535.4713745117188,-537.279541015625,0.0,-6.552189524580792,1.4992337226867676,8,False,stage1,co_o_bridge,3,side_on_tilt30_az90,
310,direct_co_o_bridge__O2,O2_side_on_tilt30_az270,Ba16Co16O50,82,-535.4713745117188,-537.279541015625,0.0,-6.552189524580792,1.4992375373840332,8,False,stage1,co_o_bridge,3,side_on_tilt30_az270,
288,direct_co_o_bridge__O2,O2_end_on_tilt30_az0,Ba16Co16O50,82,-535.945556640625,-537.1441040039062,0.13543701171875,-6.550537853706174,1.21445631980896,8,False,stage1,co_o_bridge,3,end_on_tilt30_az0,
294,direct_co_o_bridge__O2,O2_end_on_tilt30_az180,Ba16Co16O50,82,-535.945556640625,-537.1441040039062,0.13543701171875,-6.550537853706174,1.2144544124603271,8,False,stage1,co_o_bridge,3,end_on_tilt30_az180,
289,direct_co_o_bridge__O2,O2_end_on_tilt30_az30,Ba16Co16O50,82,-535.92919921875,-537.1265869140625,0.1529541015625,-6.550324230659299,1.5600475072860718,8,False,stage1,co_o_bridge,3,end_on_tilt30_az30,
293,direct_co_o_bridge__O2,O2_end_on_tilt30_az150,Ba16Co16O50,82,-535.92919921875,-537.1265869140625,0.1529541015625,-6.550324230659299,1.5600467920303345,8,False,stage1,co_o_bridge,3,end_on_tilt30_az150,
305,direct_co_o_bridge__O2,O2_side_on_tilt30_az120,Ba16Co16O50,82,-535.12255859375,-537.1065063476562,0.17303466796875,-6.550079345703125,1.279632806777954,8,False,stage1,co_o_bridge,3,side_on_tilt30_az120,
309,direct_co_o_bridge__O2,O2_side_on_tilt30_az240,Ba16Co16O50,82,-535.12255859375,-537.1065063476562,0.17303466796875,-6.550079345703125,1.279629111289978,8,False,stage1,co_o_bridge,3,side_on_tilt30_az240,
290,direct_co_o_bridge__O2,O2_end_on_tilt30_az60,Ba16Co16O50,82,-535.8609619140625,-537.0833740234375,0.1961669921875,-6.549797244188262,1.66309654712677,8,False,stage1,co_o_bridge,3,end_on_tilt30_az60,
292,direct_co_o_bridge__O2,O2_end_on_tilt30_az120,Ba16Co16O50,82,-535.8609619140625,-537.0833740234375,0.1961669921875,-6.549797244188262,1.6630916595458984,8,False,stage1,co_o_bridge,3,end_on_tilt30_az120,
291,direct_co_o_bridge__O2,O2_end_on_tilt30_az90,Ba16Co16O50,82,-535.8161010742188,-537.0653686523438,0.21417236328125,-6.549577666491997,1.665902018547058,8,False,stage1,co_o_bridge,3,end_on_tilt30_az90,
306,direct_co_o_bridge__O2,O2_side_on_tilt30_az150,Ba16Co16O50,82,-535.3731079101562,-537.032958984375,0.24658203125,-6.549182426638719,1.2069140672683716,8,False,stage1,co_o_bridge,3,side_on_tilt30_az150,
