"family","label","state","deltaE_family_eV","final_energy_eV","max_force_eVA","site","co_idx","orientation","min_contact_ratio","structure_dir","structure_cif"
"vacancy_center__H2O","H2O_offset_y+_h1p90_co_bound_tilt30_az180","H2O","0.010009765625","-539.6177368164062","0.009575257077813148","vacancy_center",,"co_bound_tilt30_az180","0.879657299885841","vacancy_center__H2O__H2O_offset_y+_h1p90_co_bound_tilt30_az180","vacancy_center__H2O__H2O_offset_y+_h1p90_co_bound_tilt30_az180\structure.cif"
"vacancy_center__H2O2","H2O2_center_h1p80_default_tilt30_az150","H2O2","0.0","-544.7077026367188","0.009864486753940582","vacancy_center",,"default_tilt30_az150","0.8705001136703505","vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150","vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150\structure.cif"
"vacancy_center__O","O_atom_tilt0_az0","O","0.0","-530.14013671875","0.00612788088619709","vacancy",,"atom_tilt0_az0","0.8715883719564892","vacancy_center__O__O_atom_tilt0_az0","vacancy_center__O__O_atom_tilt0_az0\structure.cif"
"vacancy_center__O","O_atom_tilt30_az30","O","0.0","-530.1414184570312","0.00401952862739563","vacancy",,"atom_tilt30_az30","0.8715193852245835","vacancy_center__O__O_atom_tilt30_az30","vacancy_center__O__O_atom_tilt30_az30\structure.cif"
"vacancy_center__O2","O2_end_on_tilt30_az0","O2","0.0","-534.67626953125","0.02439265511929989","vacancy",,"end_on_tilt30_az0","0.8775363777961538","vacancy_center__O2__O2_end_on_tilt30_az0","vacancy_center__O2__O2_end_on_tilt30_az0\structure.cif"
"vacancy_center__OH","OH_center_h1p40_co_bound_tilt30_az0","OH","0.0","-535.135986328125","0.007221798412501812","vacancy_center",,"co_bound_tilt30_az0","0.8738451924480294","vacancy_center__OH__OH_center_h1p40_co_bound_tilt30_az0","vacancy_center__OH__OH_center_h1p40_co_bound_tilt30_az0\structure.cif"
"vacancy_center__OH","OH_offset_y+_h1p60_co_bound_tilt30_az180","OH","0.00128173828125","-535.1347045898438","0.009171298705041409","vacancy_center",,"co_bound_tilt30_az180","0.8741051459984346","vacancy_center__OH__OH_offset_y+_h1p60_co_bound_tilt30_az180","vacancy_center__OH__OH_offset_y+_h1p60_co_bound_tilt30_az180\structure.cif"
"vacancy_center__OOH","OOH_default_tilt30_az150","OOH","0.0","-539.99072265625","0.009752589277923107","vacancy",,"default_tilt30_az150","0.8713740353152981","vacancy_center__OOH__OOH_default_tilt30_az150","vacancy_center__OOH__OOH_default_tilt30_az150\structure.cif"
"vacancy_co_top__H2O","H2O_co_bound_tilt0_az0","H2O","0.0","-539.6854248046875","0.016219770535826683","neighbor_co_top","3","co_bound_tilt0_az0","0.8782234942320843","vacancy_co_top__H2O__H2O_co_bound_tilt0_az0","vacancy_co_top__H2O__H2O_co_bound_tilt0_az0\structure.cif"
"vacancy_co_top__H2O2","H2O2_default_tilt0_az0","H2O2","0.0","-544.8739624023438","0.008346481248736382","neighbor_co_top","3","default_tilt0_az0","0.8702191355805866","vacancy_co_top__H2O2__H2O2_default_tilt0_az0","vacancy_co_top__H2O2__H2O2_default_tilt0_az0\structure.cif"
"vacancy_co_top__O","O_atom_tilt0_az0","O","0.0","-530.210693359375","0.008338459767401218","neighbor_co_top","3","atom_tilt0_az0","0.8629081021062213","vacancy_co_top__O__O_atom_tilt0_az0","vacancy_co_top__O__O_atom_tilt0_az0\structure.cif"
"vacancy_co_top__O2","O2_end_on_tilt30_az270","O2","0.0","-535.1505737304688","0.00969343725591898","neighbor_co_top","3","end_on_tilt30_az270","0.8630217368831655","vacancy_co_top__O2__O2_end_on_tilt30_az270","vacancy_co_top__O2__O2_end_on_tilt30_az270\structure.cif"
"vacancy_co_top__OH","OH_co_bound_tilt30_az210","OH","0.0","-535.21923828125","0.009069543331861496","neighbor_co_top","3","co_bound_tilt30_az210","0.8736741941045933","vacancy_co_top__OH__OH_co_bound_tilt30_az210","vacancy_co_top__OH__OH_co_bound_tilt30_az210\structure.cif"
"vacancy_co_top__OOH","OOH_default_tilt30_az150","OOH","0.0","-540.029052734375","0.009816463105380535","neighbor_co_top","3","default_tilt30_az150","0.8722399738453805","vacancy_co_top__OOH__OOH_default_tilt30_az150","vacancy_co_top__OOH__OOH_default_tilt30_az150\structure.cif"
"vacancy_co_top_13__H2O","H2O_co_bound_tilt0_az0","H2O","0.0","-539.6807250976562","0.014046922326087952","neighbor_co_top","13","co_bound_tilt0_az0","0.8846507086894109","vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0","vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0\structure.cif"
